"","site","location","ecosystem","lat","long","datetime","time","date","width1_m","width2_m","depth_m","wb_vol","w_temp","pH","tss","ec","air_temp","humid","wind","perim","rep_prob_detect","mean_samp_vol","history","dt_start","w_type","dt_finish","survey_length","observers","v_air_temp","v_humid","v_wind","tads","meta_count","juv_count","med_count","lar_count","total_count","toad_density","pa_vis","pa_edna","npos","nneg"
"1",1,"Pindan bore","flowing bore",-17.287766,124.914036,2023-06-10 17:18:00,"17:18","10/6/2023",1,60,0.05,3,28.1,7.37,1.43,2.84,27.7,"52.7","0",122,0.2,500,"2022_2023",2023-06-10 18:10:00,"bore",2023-06-10 18:15:00,5,"EL & SD","26.3","52.7","0",0,0,0,0,0,0,0,0,1,3,12
"2",2,"Dam daniel","dam",-17.262469,123.828308,2023-06-11 16:40:00,"16:40","11/6/2023",34,37,0.8,1006,29.1,9.3,0.12,0.22,29.1,"51.3","1.8",142,1,390,"2022_2023",2023-06-11 18:10:00,"bore",2023-06-11 18:18:00,8,"EL & SD","24.8","53.2","0",1,0,0,0,1,1,0.125,1,1,15,0
"3",3,"Gravel pit","dam",-17.37737,123.910823,2023-06-19 09:08:00,"9:08","19/6/2023",33,20,0.5,330,25.6,7.68,0.11,0.23,25,"#N/A","0",106,0.4,93.6,"2022_2023",2023-06-19 20:42:00,"natural",2023-06-19 20:51:00,9,"EL & MK","20","n/a","0",0,0,0,1,39,40,4.44444444444444,1,1,6,9
"4",4,"No 4 bore","bore dam",-17.309732,123.997062,2023-06-19 10:51:00,"10:51","19/6/2023",64,26,2.1,3494,29.1,9.15,0.65,1.27,25,"#N/A","0",180,0.4,383.6,"2022_2023",2023-06-19 19:34:00,"bore",2023-06-19 19:52:00,18,"EL & MK","22","n/a","0",0,0,2,48,45,95,5.27777777777778,1,1,6,9
"5",5,"Daley bore","bore dam",-17.249896,123.981211,2023-06-19 11:50:00,"11:50","19/6/2023",38,39,2.1,3112,28.5,9.32,0.83,1.67,30,"#N/A","<5",154,0.4,416,"2022_2023",2023-06-19 18:00:00,"bore",2023-06-19 18:09:00,9,"EL & MK","25","n/a","0",0,0,0,25,12,37,4.11111111111111,1,1,6,9
"6",6,"Road swmap","swamp/puddle",-17.357748,123.748807,2023-06-20 09:27:00,"9:27","20/6/2023",24,9,0.05,11,25.4,6.88,0.07,0.14,26,"#N/A","<10",66,0.0666666666666667,160.6,"2022_2023",2023-06-20 20:28:00,"natural",2023-06-20 20:35:00,7,"EL & MK","25","69","0",0,0,0,0,0,0,0,0,1,1,14
"7",7,"Camel hole","mud puddle",-17.343693,123.75355,2023-06-20 10:18:00,"10:18","20/6/2023",14,15,0.25,53,29.3,5.56,4.32,8.62,29,"#N/A","<5",58,0,188,"2022_2023",2023-06-20 20:07:00,"natural",2023-06-20 20:11:00,4,"EL & MK","26.6","69","0",0,0,0,0,0,0,0,0,0,0,15
"8",8,"Panoptes dam","dam/wetland",-17.351454,123.7532,2023-06-20 11:28:00,"11:28","20/6/2023",39,34,1.4,1856,25.6,8.68,0.02,0.06,29,"#N/A","<10",146,0.4,394,"2022_2023",2023-06-20 19:33:00,"natural",2023-06-20 19:41:00,8,"EL & MK","26.6","69","0",1,0,0,0,0,0,0,0,1,6,9
"9",9,"Birdwood dam","dam",-17.35192,123.757743,2023-06-21 09:09:00,"9:09","21/6/2023",24,32,0.5,384,27.4,9.4,0.05,0.11,25.9,"75.6","2.2",112,0.4,140,"2022_2023",2023-06-22 20:32:00,"natural",2023-06-22 20:36:00,4,"EL & MK","24.4","60.8","0",0,0,0,0,4,4,1,1,1,6,9
"10",10,"Toad trap dam","dam",-17.33835,123.665933,2023-06-21 11:20:00,"11:20","21/6/2023",83,32,0.5,1328,27.6,8.88,0.17,0.16,30.2,"62.3","1.2",230,0.733333333333333,500,"2022_2023",2023-06-22 19:56:00,"natural",2023-06-22 20:06:00,10,"EL & MK","24.6","72.7","0",0,0,0,0,1,1,0.1,1,1,11,4
"11",11,"Car yard","puddle",-17.377221,123.682275,2023-06-21 12:00:00,"12:00","21/6/2023",20,21,0.5,210,28.2,10.11,0.11,0.22,30.8,"59.2","1.3",82,0,500,"2022_2023",2023-06-22 19:20:00,"natural",2023-06-22 19:23:00,3,"EL & MK","26.4","68.2","0",0,0,0,1,0,1,0.333333333333333,1,0,0,15
