"","site","sample","samp_vol","toad_density","tads","perim"
"1",1,1,500,0,0,122
"2",1,2,500,0,0,122
"3",1,3,500,0,0,122
"4",1,4,500,0,0,122
"5",1,5,500,0,0,122
"6",2,1,440,0.125,1,142
"7",2,2,380,0.125,1,142
"8",2,3,500,0.125,1,142
"9",2,4,430,0.125,1,142
"10",2,5,200,0.125,1,142
"11",3,1,87,4.44444444444444,0,106
"12",3,2,90,4.44444444444444,0,106
"13",3,3,106,4.44444444444444,0,106
"14",3,4,100,4.44444444444444,0,106
"15",3,5,85,4.44444444444444,0,106
"16",4,1,28,5.27777777777778,0,180
"17",4,2,440,5.27777777777778,0,180
"18",4,3,500,5.27777777777778,0,180
"19",4,4,450,5.27777777777778,0,180
"20",4,5,500,5.27777777777778,0,180
"21",5,1,400,4.11111111111111,0,154
"22",5,2,250,4.11111111111111,0,154
"23",5,3,430,4.11111111111111,0,154
"24",5,4,500,4.11111111111111,0,154
"25",5,5,500,4.11111111111111,0,154
"26",6,1,65,0,0,66
"27",6,2,430,0,0,66
"28",6,3,48,0,0,66
"29",6,4,20,0,0,66
"30",6,5,240,0,0,66
"31",7,1,80,0,0,58
"32",7,2,140,0,0,58
"33",7,3,50,0,0,58
"34",7,4,300,0,0,58
"35",7,5,370,0,0,58
"36",8,1,500,0,1,146
"37",8,2,500,0,1,146
"38",8,3,270,0,1,146
"39",8,4,400,0,1,146
"40",8,5,300,0,1,146
"41",9,1,110,1,0,112
"42",9,2,145,1,0,112
"43",9,3,120,1,0,112
"44",9,4,135,1,0,112
"45",9,5,190,1,0,112
"46",10,1,500,0.1,0,230
"47",10,2,500,0.1,0,230
"48",10,3,500,0.1,0,230
"49",10,4,500,0.1,0,230
"50",10,5,500,0.1,0,230
"51",11,1,500,0.333333333333333,0,82
"52",11,2,500,0.333333333333333,0,82
"53",11,3,500,0.333333333333333,0,82
"54",11,4,500,0.333333333333333,0,82
"55",11,5,500,0.333333333333333,0,82
"56",12,1,400,0,0,140
"57",12,2,400,0,0,140
"58",12,3,500,0,0,140
"59",12,4,500,0,0,140
"60",12,5,500,0,0,140
"61",13,1,45,3.08333333333333,0,124
"62",13,2,60,3.08333333333333,0,124
"63",13,3,50,3.08333333333333,0,124
"64",13,4,34,3.08333333333333,0,124
"65",13,5,35,3.08333333333333,0,124
"66",14,1,55,0.714285714285714,1,314
"67",14,2,50,0.714285714285714,1,314
"68",14,3,50,0.714285714285714,1,314
"69",14,4,35,0.714285714285714,1,314
"70",14,5,60,0.714285714285714,1,314
"71",15,1,200,2.8,0,396
"72",15,2,110,2.8,0,396
"73",15,3,250,2.8,0,396
"74",15,4,250,2.8,0,396
"75",15,5,140,2.8,0,396
"76",16,1,40,4.875,0,170
"77",16,2,39,4.875,0,170
"78",16,3,35,4.875,0,170
"79",16,4,130,4.875,0,170
"80",16,5,130,4.875,0,170
"81",17,1,500,3.42857142857143,0,120
"82",17,2,500,3.42857142857143,0,120
"83",17,3,500,3.42857142857143,0,120
"84",17,4,500,3.42857142857143,0,120
"85",17,5,500,3.42857142857143,0,120
"86",18,1,29,1.33333333333333,0,40
"87",18,2,15,1.33333333333333,0,40
"88",18,3,109,1.33333333333333,0,40
"89",18,4,15,1.33333333333333,0,40
"90",18,5,15,1.33333333333333,0,40
"91",19,1,500,0,0,322
"92",19,2,500,0,0,322
"93",19,3,500,0,0,322
"94",19,4,500,0,0,322
"95",19,5,500,0,0,322
"96",20,1,440,8.81818181818182,0,560
"97",20,2,215,8.81818181818182,0,560
"98",20,3,500,8.81818181818182,0,560
"99",20,4,330,8.81818181818182,0,560
"100",20,5,400,8.81818181818182,0,560
"101",21,1,500,3.66666666666667,0,110
"102",21,2,500,3.66666666666667,0,110
"103",21,3,500,3.66666666666667,0,110
"104",21,4,500,3.66666666666667,0,110
"105",21,5,500,3.66666666666667,0,110
"106",22,1,43,0.0666666666666667,0,340
"107",22,2,52,0.0666666666666667,0,340
"108",22,3,35,0.0666666666666667,0,340
"109",22,4,30,0.0666666666666667,0,340
"110",22,5,38,0.0666666666666667,0,340
"111",23,1,500,0,0,140
"112",23,2,500,0,0,140
"113",23,3,500,0,0,140
"114",23,4,420,0,0,140
"115",23,5,500,0,0,140
"116",24,1,500,0.210526315789474,0,492
"117",24,2,500,0.210526315789474,0,492
"118",24,3,500,0.210526315789474,0,492
"119",24,4,400,0.210526315789474,0,492
"120",24,5,400,0.210526315789474,0,492
"121",25,1,380,2.85714285714286,0,114
"122",25,2,500,2.85714285714286,0,114
"123",25,3,390,2.85714285714286,0,114
"124",25,4,300,2.85714285714286,0,114
"125",25,5,500,2.85714285714286,0,114
"126",26,1,500,1.58333333333333,0,442
"127",26,2,425,1.58333333333333,0,442
"128",26,3,500,1.58333333333333,0,442
"129",26,4,500,1.58333333333333,0,442
"130",26,5,200,1.58333333333333,0,442
"131",27,1,400,7.9,0,376
"132",27,2,500,7.9,0,376
"133",27,3,500,7.9,0,376
"134",27,4,475,7.9,0,376
"135",27,5,500,7.9,0,376
"136",28,1,40,1.66666666666667,1,316
"137",28,2,28,1.66666666666667,1,316
"138",28,3,25,1.66666666666667,1,316
"139",28,4,27,1.66666666666667,1,316
"140",28,5,22,1.66666666666667,1,316
"141",29,1,320,0.833333333333333,1,232
"142",29,2,250,0.833333333333333,1,232
"143",29,3,255,0.833333333333333,1,232
"144",29,4,240,0.833333333333333,1,232
"145",29,5,160,0.833333333333333,1,232
"146",30,1,110,2.28571428571429,0,202
"147",30,2,155,2.28571428571429,0,202
"148",30,3,127,2.28571428571429,0,202
"149",30,4,350,2.28571428571429,0,202
"150",30,5,500,2.28571428571429,0,202
"151",31,1,280,0,0,104
"152",31,2,300,0,0,104
"153",31,3,330,0,0,104
"154",31,4,300,0,0,104
"155",31,5,250,0,0,104
"156",32,1,120,0,0,258
"157",32,2,80,0,0,258
"158",32,3,60,0,0,258
"159",32,4,45,0,0,258
"160",32,5,45,0,0,258
"161",33,1,200,0,0,268
"162",33,2,210,0,0,268
"163",33,3,420,0,0,268
"164",33,4,285,0,0,268
"165",33,5,360,0,0,268
"166",34,1,150,0,0,258
"167",34,2,85,0,0,258
"168",34,3,80,0,0,258
"169",34,4,90,0,0,258
"170",34,5,87,0,0,258
"171",35,1,70,0,0,162
"172",35,2,81,0,0,162
"173",35,3,90,0,0,162
"174",35,4,75,0,0,162
"175",35,5,86,0,0,162
