site,sample,rep,cq,conc,copies,pa_edna
01,01,1,NA,NA,NA,0
01,01,2,41.875084008966766,2.0979882473318697e-5,242963.17907441608,1
01,01,3,NA,NA,NA,0
01,02,1,NA,NA,NA,0
01,02,2,NA,NA,NA,0
01,02,3,NA,NA,NA,0
01,03,1,NA,NA,NA,0
01,03,2,42.943456480732735,1.0024406081022244e-5,116090.33429407977,1
01,03,3,41.759779019600714,2.272059276509902e-5,263121.94339906675,1
01,04,1,NA,NA,NA,0
01,04,2,NA,NA,NA,0
01,04,3,NA,NA,NA,0
01,05,1,NA,NA,NA,0
01,05,2,NA,NA,NA,0
01,05,3,NA,NA,NA,0
02,01,1,38.26482537471337,2.5448772711957556e-4,2947163.659998035,1
02,01,2,38.6818153015971,1.907563735478245e-4,2209105.5564695415,1
02,01,3,38.96908033137187,1.5640008732657233e-4,1811233.331392889,1
02,02,1,36.395963092746456,9.262591420933042e-4,10726793.445861064,1
02,02,2,35.90375616988466,0.0013016726255044339,15074370.39310887,1
02,02,3,35.87703000760442,0.0013259447876909402,15355460.704045705,1
02,03,1,34.87936132992378,0.0026426722532247836,30604177.72653412,1
02,03,2,34.990824647817135,0.0024466961367988873,28334623.531936113,1
02,03,3,34.968511358631204,0.00248472816095422,28775063.63007137,1
02,04,1,35.727695125715144,0.0014701390904868837,17025341.660541814,1
02,04,2,35.22132949463062,0.00208630781776501,24161049.547186103,1
02,04,3,34.89585468971504,0.0026127129939198896,30257226.455825675,1
02,05,1,36.526729178804786,8.462023067098152e-4,9799673.703596234,1
02,05,2,36.43712030828313,9.002774663605043e-4,10425905.652912285,1
02,05,3,35.95273276707695,0.0012583403614702402,14572549.439648865,1
03,01,1,NA,NA,NA,0
03,01,2,NA,NA,NA,0
03,01,3,43.27291016231201,7.982718267515183e-6,92446.01872281621,1
03,02,1,NA,NA,NA,0
03,02,2,43.33176818129252,7.664442650460917e-6,88760.14222471285,1
03,02,3,NA,NA,NA,0
03,03,1,40.9411310183977,4.001219106738909e-5,463371.9543390757,1
03,03,2,42.46953939300343,1.391031555166461e-5,161092.15543313324,1
03,03,3,40.94114017278366,4.001193786239892e-5,463369.0220304964,1
03,04,1,NA,NA,NA,0
03,04,2,NA,NA,NA,0
03,04,3,NA,NA,NA,0
03,05,1,43.15919482728485,8.635553243924408e-6,100006.34998211073,1
03,05,2,NA,NA,NA,0
03,05,3,48.231959158008486,2.590336452589331e-7,2999.80888927208,0
04,01,1,NA,NA,NA,0
04,01,2,NA,NA,NA,0
04,01,3,NA,NA,NA,0
04,02,1,NA,NA,NA,0
04,02,2,NA,NA,NA,0
04,02,3,43.73550758551653,5.797901539141592e-6,67144.16020689272,1
04,03,1,43.31018123256935,7.779673388341966e-6,90094.60281753434,1
04,03,2,41.610037447540165,2.519850285179305e-5,291818.0484839924,1
04,03,3,43.401560864923226,7.303441840203963e-6,84579.47512040398,1
04,04,1,NA,NA,NA,0
04,04,2,43.19143007681533,8.4452511914326e-6,97802.50581298358,1
04,04,3,42.78727228531413,1.1167293281128495e-5,129325.84730586209,1
04,05,1,NA,NA,NA,0
04,05,2,NA,NA,NA,0
04,05,3,NA,NA,NA,0
05,01,1,NA,NA,NA,0
05,01,2,42.45890704,1.4012931636071046e-5,162280.52863413966,1
05,01,3,NA,NA,NA,0
05,02,1,40.23951626,6.498745823207213e-5,752604.7618288877,1
05,02,2,41.93385308,2.014464097403241e-5,233290.439953043,1
05,02,3,40.4464917,5.632378688039283e-5,652272.7825274339,1
05,03,1,42.82885184,1.0850881003755281e-5,125661.54971475115,1
05,03,2,42.5174354,1.3457294282074138e-5,155845.82061748265,1
05,03,3,NA,NA,NA,0
05,04,1,NA,NA,NA,0
05,04,2,NA,NA,NA,0
05,04,3,NA,NA,NA,0
05,05,1,NA,NA,NA,0
05,05,2,NA,NA,NA,0
05,05,3,NA,NA,NA,0
06,01,1,NA,NA,NA,0
06,01,2,NA,NA,NA,0
06,01,3,NA,NA,NA,0
06,02,1,NA,NA,NA,0
06,02,2,NA,NA,NA,0
06,02,3,NA,NA,NA,0
06,03,1,NA,NA,NA,0
06,03,2,42.15283702,1.7314767398930806e-5,200518.3269033264,1
06,03,3,NA,NA,NA,0
06,04,1,NA,NA,NA,0
06,04,2,NA,NA,NA,0
06,04,3,NA,NA,NA,0
06,05,1,NA,NA,NA,0
06,05,2,NA,NA,NA,0
06,05,3,NA,NA,NA,0
07,01,1,NA,NA,NA,0
07,01,2,NA,NA,NA,0
07,01,3,NA,NA,NA,0
07,02,1,NA,NA,NA,0
07,02,2,NA,NA,NA,0
07,02,3,NA,NA,NA,0
07,03,1,NA,NA,NA,0
07,03,2,NA,NA,NA,0
07,03,3,NA,NA,NA,0
07,04,1,NA,NA,NA,0
07,04,2,NA,NA,NA,0
07,04,3,NA,NA,NA,0
07,05,1,NA,NA,NA,0
07,05,2,NA,NA,NA,0
07,05,3,NA,NA,NA,0
08,01,1,42.09083532234929,1.8073017664923494e-5,209299.44831303385,1
